Title,Genre,,,,Date_of_film,Language
If Anything Happens I Love You,Animation / Short,,,,2020,English
The Irishman,Crime drama,,,,2019,English
The Trial of the Chicago 7,Drama,,,,2020,English
A Secret Love,Documentary,,,,2020,English
Icarus,Documentary,,,,2017,English
Marriage Story,Drama,,,,2019,English
The Ivory Game,Documentary,,,,2016,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,,,,2018,English
Chasing Coral ,Documentary,,,,2017,English
My Octopus Teacher,Documentary,,,,2020,English
Rising Phoenix,Documentary,,,,2020,English
13th,Documentary,,,,2016,English
Disclosure: Trans Lives on Screen,Documentary,,,,2020,English
Klaus,Animation/Christmas/Comedy/Adventure,,,,2019,English
Seaspiracy,Documentary,,,,2021,English
The Three Deaths of Marisela Escobedo,Documentary,,,,2020,Spanish
Cuba and the Cameraman ,Documentary,,,,2017,English
Dancing with the Birds,Documentary,,,,2019,English
Ben Platt: Live from Radio City Music Hall,Concert Film,,,,2020,English
Taylor Swift: Reputation Stadium Tour,Concert Film,,,,2018,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,,,,2015,English/Ukranian/Russian
Springsteen on Broadway,One-man show,,,,2018,English
Emicida: AmarElo - It's All For Yesterday,Documentary,,,,2020,Portuguese
David Attenborough: A Life on Our Planet,Documentary,,,,2020,English
