Title,Genre,,,,Date_of_film,Language
"Love, Guaranteed",Romantic comedy,,,,2020,English
One-Way to Tomorrow,Romance,,,,2020,Turkish
Sarah Cooper: Everything's Fine,Variety show,,,,2020,English
The Last Laugh,Comedy-drama,,,,2019,English
The Last Paradiso,Romantic drama,,,,2021,Italian
The Midnight Sky,Science fiction,,,,2020,English
The Paramedic,Thriller,,,,2020,Spanish
The Sleepover,Comedy,,,,2020,English
Vampires vs. the Bronx,Horror comedy,,,,2020,English
Why Did You Kill Me?,Documentary,,,,2021,English
A Week Away,Christian musical,,,,2021,English
Caught by a Wave,Romantic teen drama,,,,2021,Italian
Christmas Inheritance,Romantic drama,,,,2017,English
Dad Wanted,Family,,,,2020,Spanish
El Camino Christmas,Dark comedy,,,,2017,English
Eli,Horror,,,,2019,English
Ginny Weds Sunny,Romantic comedy,,,,2020,Hindi
Good Sam,Drama,,,,2019,English
Lionheart,Comedy,,,,2019,English
Little Evil,Comedy horror,,,,2017,English
One Take,Documentary,,,,2020,Thai
"Out of Many, One",Documentary,,,,2018,English
Point Blank,Action,,,,2019,English
Prime Time,Thriller,,,,2021,Polish
The Do-Over,Action comedy,,,,2016,English
The Holiday Calendar,Romantic comedy,,,,2018,English
The Woman in the Window,Psychological thriller,,,,2021,English
The Wrong Missy,Comedy,,,,2020,English
Velvet Buzzsaw,Thriller,,,,2019,English
Yes Day,Comedy,,,,2021,English
15-Aug,Comedy-drama,,,,2019,Marathi
A California Christmas,Romantic comedy,,,,2020,English
A Christmas Prince,Romantic comedy,,,,2017,English
All Day and a Night,Drama,,,,2020,English
American Son,Drama,,,,2019,English
Barry,Biopic,,,,2016,English
Candy Jar,Comedy,,,,2018,English
Choked: Paisa Bolta Hai,Drama,,,,2020,Hindi
Class of '83,Drama,,,,2020,Hindi
Extinction,Science fiction/Thriller,,,,2018,English
Happy Anniversary,Romantic comedy,,,,2018,English
I Am All Girls,Thriller,,,,2021,English
Let It Snow,Romantic comedy,,,,2019,English
Mascots,Mockumentary,,,,2016,English
Operation Christmas Drop,Romantic comedy,,,,2020,English
Rajma Chawal,Comedy-drama,,,,2018,Hindi
Rich in Love,Romantic comedy,,,,2020,Portuguese
Rising High,Satire,,,,2020,German
Rodney King,One-man show,,,,2017,English
Sierra Burgess Is a Loser,Romantic comedy-drama,,,,2018,English
Small Crimes,Dark comedy,,,,2017,English
Special Correspondents,Satire,,,,2016,English
TAU,Science fiction/Thriller,,,,2018,English
The After Party,Comedy,,,,2018,English
The Babysitter: Killer Queen,Comedy/Horror,,,,2020,English
The Claus Family,Fantasy,,,,2020,Dutch
The Kissing Booth 2,Romantic comedy,,,,2020,English
The Perfect Date,Romantic comedy,,,,2019,English
What We Wanted,Drama,,,,2020,German
You've Got This,Romantic comedy,,,,2020,Spanish
6 Balloons,Drama,,,,2018,English
A Fall from Grace,Thriller,,,,2020,English
Amateur,Sports-drama,,,,2018,English
Army of the Dead,Zombie/Heist,,,,2021,English
Cam,Psychological horror,,,,2018,English
Earthquake Bird,Mystery,,,,2019,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,,,,2019,English
Horse Girl,Drama,,,,2020,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,,,,2018,English
Maska,Romantic comedy,,,,2020,Hindi
The Decline,Thriller,,,,2020,French
The Minimalists: Less Is Now,Documentary,,,,2021,English
The Polka King,Comedy-drama,,,,2018,English
The Prom,Musical,,,,2020,English
True Memoirs of an International Assassin,Action comedy,,,,2016,English
Ultras,Sports film,,,,2020,Italian
Come Sunday,Biopic,,,,2018,English
Forgive Us Our Debts,Drama,,,,2018,Italian
iBoy,Science fiction/Thriller,,,,2017,English
Lovefucked,Drama,,,,2019,Hindi
Juanita,Drama,,,,2019,English
Murder Mystery,Comedy mystery,,,,2019,English
Project Power,Superhero,,,,2020,English
Rebecca,Romantic thriller,,,,2020,English
The Christmas Chronicles: Part Two,Christmas comedy,,,,2020,English
The Kissing Booth,Romantic comedy,,,,2018,English
The Princess Switch,Romantic comedy,,,,2018,English
To All the Boys: P.S. I Still Love You,Romantic comedy,,,,2020,English
War Machine,War-Comedy,,,,2017,English
6 Underground,Action,,,,2019,English
Between Two Ferns: The Movie,Comedy,,,,2019,English
Burning Sands,Drama,,,,2017,English
Casting JonBenet,Documentary,,,,2017,English
Deidra & Laney Rob a Train,Drama,,,,2017,English
Finding 'Ohana,Family,,,,2021,English
Holidate,Romantic comedy/Holiday,,,,2020,English
Holiday in the Wild,Adventure-romance,,,,2019,English
Hot Girls Wanted,Documentary,,,,2015,English
Like Father,Comedy,,,,2018,English
Lost Girls,Crime drama,,,,2020,English
Otherhood,Comedy,,,,2019,English
Pee-wee's Big Holiday,Adventure,,,,2016,English
Rogue City,Crime drama,,,,2020,French
Sergio,Biopic,,,,2020,English
Stuck Apart,Drama,,,,2021,Turkish
Tersanjung the Movie,Drama,,,,2021,Indonesian
The Killer,Western,,,,2017,Portuguese
The Lovebirds,Romantic comedy,,,,2020,English
The Most Hated Woman in America,Biopic,,,,2017,English
The Perfection,Horror-thriller,,,,2019,English
Tribhanga – Tedhi Medhi Crazy,Drama,,,,2021,Hindi
Unknown Origins,Thriller,,,,2020,Spanish
Work It,Dance comedy,,,,2020,English
Alien Xmas,Stop Motion,,,,2020,English
Baggio: The Divine Ponytail,Biopic,,,,2021,Italian
Below Zero,Drama,,,,2021,Spanish
Citation,Drama,,,,2020,English
Crazy Awesome Teachers,Comedy-drama,,,,2020,Indonesian
Have You Ever Seen Fireflies?,Comedy,,,,2021,Turkish
High Flying Bird,Sports-drama,,,,2019,English
In the Shadow of the Moon,Thriller,,,,2019,English
Lost Bullet,Thriller,,,,2020,French
Octonauts & the Caves of Sac Actun,Animation,,,,2020,English
Offering to the Storm,Thriller,,,,2020,Spanish
Roxanne Roxanne,Biopic,,,,2018,English
Someone Great,Romantic comedy,,,,2019,English
Spenser Confidential,Action comedy,,,,2020,English
The Land of Steady Habits,Drama,,,,2018,English
The Rachel Divide,Documentary,,,,2018,English
Voyuer ,Documentary,,,,2017,English
Win It All,Comedy,,,,2017,English
1922,Horror/Crime drama,,,,2017,English
A Tale of Two Kitchens,Documentary,,,,2019,English/Spanish
Alex Strangelove,Romantic comedy,,,,2018,English
Apostle,Horror-thriller,,,,2018,English
Benji,Family film,,,,2018,English
Bright,Urban fantasy,,,,2017,English
Cargo,Drama/Horror,,,,2018,English
Concrete Cowboy,Drama,,,,2021,English
Feel the Beat,Family/Comedy-drama,,,,2020,English
Get the Goat,Comedy,,,,2021,Portuguese
I Am Not an Easy Man,Romantic comedy,,,,2018,French
June & Kopi,Drama,,,,2021,Indonesian
Music Teacher,Drama,,,,2019,Hindi
Nail Bomber: Manhunt,Documentary,,,,2021,English
Notes for My Son,Drama,,,,2020,Spanish
Polar,Action,,,,2019,English
Porta dos Fundos: The Last Hangover,Comedy,,,,2018,Portuguese
Sand Castle,War,,,,2017,English
Shimmer Lake,Crime thriller,,,,2017,English
Spectral,Science fiction/Action,,,,2016,English
The Babysitter,Teen comedy horror,,,,2017,English
The Discovery,Science fiction/Drama,,,,2017,English
The Forest of Love,Drama,,,,2019,Japanese
The Laundromat,Comedy-drama,,,,2019,English
The Legend of Cocaine Island,Documentary,,,,2019,English
The Outsider,Crime drama,,,,2018,English/Japanese
Time to Hunt,Thriller,,,,2020,Korean
To All the Boys: Always and Forever,Romantic comedy,,,,2021,English
Travis Scott: Look Mom I Can Fly,Documentary,,,,2019,English
Uncorked,Drama,,,,2020,English
